method,mean,median,std,count,valid,failures
llm_extractor_gemma3,2.9756,3.0,1.1723,41,41,0
llm_extractor_gpt4omini,5.2931,5.0,1.2141,58,58,0
llm_extractor_llama32,2.9111,3.0,1.4274,45,45,0
llm_extractor_mistral,3.8462,3.0,1.4884,26,26,0
maps_algorithmic,3.6667,4.0,0.8876,12,12,0
trails_algorithmic,4.9167,4.5,1.2401,12,12,0
