method,model,n,count,avg_edge_coherence_mean,avg_edge_coherence_std,avg_edge_coherence_median,wall_time_seconds_mean,wall_time_seconds_std,wall_time_seconds_median,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_median,judge_score_mean,judge_score_std,judge_score_median
maps_algorithmic,,6,10,0.7215995001792908,0.07080629597589742,0.7519925951957702,24.30745728337788,44.75819763253268,6.484631583472947,41.99754114151001,76.58375043834836,10.778099536895752,8.0,0.0,8.0
maps_algorithmic,,12,7,0.7415914264592257,0.0,0.7415914264592257,1.0720155117284906,1.8357675214845426,0.3861275830422528,2.1256873267037526,3.8168055400373775,0.6826305389404297,8.0,0.0,8.0
maps_llm,llama3.2,6,10,0.8,0.0,0.8,55.77500427509949,1.0196961044375628,55.48727154148219,2.038088321685791,0.11044154746357344,2.003347396850586,8.0,0.0,8.0
maps_llm,llama3.2,12,10,0.7818181818181816,1.1702778228589004e-16,0.7818181818181817,56.28872381659748,1.023857131017854,55.67223812500015,2.0039896965026855,0.0036800112051122245,2.0039258003234863,8.0,0.0,8.0
maps_llm,mistral,6,10,0.8800000000000001,0.0,0.8800000000000001,130.3434844334086,2.6687546310172667,130.16807060450083,2.0008986473083494,0.0017136773584816608,2.0011115074157715,9.0,0.0,9.0
maps_llm,mistral,12,10,0.8227272727272726,1.1702778228589004e-16,0.8227272727272728,170.17032506680698,75.57598876653336,130.27052814602212,2.0089011192321777,0.025913459340564583,2.0008797645568848,8.0,0.0,8.0
maps_proprietary,gpt-4o-mini,6,10,0.906,0.016465452046971214,0.9099999999999999,125.77359312080662,13.938548755264204,121.41475989602623,5.250283432006836,3.5586340409955755,3.567519187927246,8.8,0.4216370213557839,9.0
maps_proprietary,gpt-4o-mini,12,10,0.8463636363636364,0.009040262963743226,0.8454545454545456,126.55900287909026,14.784905069230179,122.67730670847232,3.571268177032471,0.0059099465665163374,3.569577217102051,8.5,0.5270462766947299,8.5
trails_algorithmic,,6,6,0.7427113930384318,0.01586569275524536,0.7508408427238464,6.902455236001212,6.889017989207311,7.160873583503417,9.229241371154785,8.518526896834823,10.718782424926758,,,
trails_algorithmic,,12,2,0.732877953486009,0.0,0.732877953486009,0.0013482079957611859,9.086321355632842e-05,0.0013482079957611859,0.07862472534179688,4.8553169484549924e-05,0.07862472534179688,,,
trails_llm,llama3.2,6,5,0.8,0.0,0.8,55.44252863300498,0.31100822969027236,55.428797333006514,1.4860563278198242,0.1078142681079052,1.4374580383300781,8.0,0.0,8.0
trails_llm,llama3.2,12,5,0.7818181818181817,0.0,0.7818181818181817,55.68413291680626,0.0653597536729343,55.68885808400228,1.439004898071289,0.0009756337625965318,1.4392518997192383,8.0,0.0,8.0
trails_llm,mistral,6,5,0.82,0.0,0.82,129.95954031640431,2.0812520460022697,129.77651987501304,1.4394874572753906,0.0011366457668133885,1.4398393630981445,8.0,0.0,8.0
trails_llm,mistral,12,5,0.7863636363636364,0.0,0.7863636363636364,129.27051465840196,0.2561166140106881,129.2688687919872,1.4398197174072265,0.0008891934234806266,1.4400825500488281,8.0,0.0,8.0
trails_proprietary,gpt-4o-mini,6,7,0.8085714285714286,0.010690449676496985,0.8,227.96485292856647,249.82244107964604,124.51186208400759,5.712171418326242,4.574367169876198,3.0484142303466797,8.0,0.0,8.0
trails_proprietary,gpt-4o-mini,12,5,0.8272727272727274,0.009090909090909094,0.8272727272727273,111.80487355000223,2.8539289581421667,110.53513045801083,3.036736488342285,0.008470726397565163,3.0409116744995117,,,
