method_a,method_b,mean_a (avg_edge_coherence),mean_b (avg_edge_coherence),t_statistic,p_value,p_bonferroni,cohens_d,significant_0.05,n_a,n_b
maps_algorithmic,maps_llm,0.7298314698239698,0.8211363636363636,-6.347045954963311,1.8551409556282662e-06,2.782711433442399e-05,-2.1267838248092326,True,17,40
maps_algorithmic,maps_proprietary,0.7298314698239698,0.8761818181818182,-9.71164466085917,4.3935526502232966e-10,6.590328975334945e-09,-3.3269906259542115,True,17,20
maps_algorithmic,trails_algorithmic,0.7298314698239698,0.7402530331503261,-0.7424971797564739,0.4664044112303303,1.0,-0.22772108358619084,False,17,8
maps_algorithmic,trails_llm,0.7298314698239698,0.7970454545454546,-4.961292410805721,9.842855147871656e-05,0.0014764282721807483,-1.7577710849877097,True,17,20
maps_algorithmic,trails_proprietary,0.7298314698239698,0.8163636363636364,-6.321668809498964,4.820147184178202e-06,7.230220776267303e-05,-2.035318115465567,True,17,12
maps_llm,maps_proprietary,0.8211363636363636,0.8761818181818182,-5.797359594108639,7.511778750596058e-07,1.1267668125894086e-05,-1.525076475409898,True,40,20
maps_llm,trails_algorithmic,0.8211363636363636,0.7402530331503261,10.436263492338014,1.8282294641713403e-11,2.7423441962570107e-10,2.3180616637758433,True,40,8
maps_llm,trails_llm,0.8211363636363636,0.7970454545454546,3.529033801492032,0.0008377849682333463,0.012566774523500194,0.7552782237607466,True,40,20
maps_llm,trails_proprietary,0.8211363636363636,0.8163636363636364,0.6720965130956079,0.5047488082120826,1.0,0.14180749545107432,False,40,12
maps_proprietary,trails_algorithmic,0.8761818181818182,0.7402530331503261,15.17665695577926,2.332695994432433e-14,3.499043991648649e-13,4.634960807432491,True,20,8
maps_proprietary,trails_llm,0.8761818181818182,0.7970454545454546,9.685928477275617,3.193743587885135e-10,4.7906153818277025e-09,3.0629595241677414,True,20,20
maps_proprietary,trails_proprietary,0.8761818181818182,0.8163636363636364,7.120219622016944,1.0771556930626884e-07,1.6157335395940327e-06,2.160642837019212,True,20,12
trails_algorithmic,trails_llm,0.7402530331503261,0.7970454545454546,-9.379140084114477,2.201551601485372e-07,3.302327402228058e-06,-3.798615429598017,True,8,20
trails_algorithmic,trails_proprietary,0.7402530331503261,0.8163636363636364,-11.960793873693424,5.589738488380328e-09,8.384607732570492e-08,-5.50556123583456,True,8,12
trails_llm,trails_proprietary,0.7970454545454546,0.8163636363636364,-3.7159180481391307,0.00100242796841589,0.01503641952623835,-1.318059173410261,True,20,12
